Date,AirCraft_Type,AirCraft_Regn,AirCraft_FltNo,From,To,Total_Payload_kg,Distance_Flown_km,Hours_Flown
2/5/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,1300,120,0.5
2/8/2021,C208,5Y-ESU,MAF 1,JUBA,MANDENG,884,441,1.6
2/8/2021,C208,5Y-ESU,MAF 1,MANDENG,JUBA,664,441,1.7
2/9/2021,C208,5Y-ESU,MAF 1,JUBA,MANDENG,918,441,1.6
2/9/2021,C208,5Y-ESU,MAF 1,MANDENG,RUBKONA,696,376,1.5
2/9/2021,C208,5Y-ESU,MAF 1,RUBKONA,MALUALKON,894,239,1
2/9/2021,C208,5Y-ESU,MAF 1,MALUALKON,MARIAL BAI,860,87,0.4
2/9/2021,C208,5Y-ESU,MAF 1,MARIAL BAI,MALUALKON,806,87,0.4
2/10/2021,C208,5Y-ESU,MAF 1,MALUALKON,TONJ,1015,226,1
2/10/2021,C208,5Y-ESU,MAF 1,TONJ,RUMBEK,1215,120,0.5
2/10/2021,C208,5Y-ESU,MAF 1,RUMBEK,JUBA,1176,304,1.1
2/11/2021,C208,5Y-ESU,MAF 1,JUBA,MARIDI,1082,239,1
2/11/2021,C208,5Y-ESU,MAF 1,MARIDI,JUBA,1244,239,0.9
2/12/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,971,120,0.5
2/12/2021,C208,5Y-ESU,MAF 1,TORIT,CHUKUDUM,1072,104,0.5
2/12/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,KAPOETA,819,65,0.3
2/12/2021,C208,5Y-ESU,MAF 1,KAPOETA,KIMATONG,1203,39,0.2
2/12/2021,C208,5Y-ESU,MAF 1,KIMATONG,TORIT,751,80,0.4
2/12/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,1289,120,0.5
2/15/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,1048,120,0.6
2/15/2021,C208,5Y-ESU,MAF 1,TORIT,CHUKUDUM,1170,104,0.5
2/15/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,KAPOETA,926,65,0.3
2/15/2021,C208,5Y-ESU,MAF 1,KAPOETA,JUBA,1297,220,0.9
2/15/2021,C208,5Y-ESU,MAF 1,JUBA,KAJO KEJI,1198,113,0.5
2/15/2021,C208,5Y-ESU,MAF 1,KAJO KEJI,JUBA,1097,113,0.4
2/16/2021,C208,5Y-ESU,MAF 1,JUBA,KAJO KEJI,1208,113,0.5
2/16/2021,C208,5Y-ESU,MAF 1,KAJO KEJI,JUBA,1102,113,0.5
2/22/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,1056,120,0.5
2/22/2021,C208,5Y-ESU,MAF 1,TORIT,KAPOETA,1155,119,0.6
2/22/2021,C208,5Y-ESU,MAF 1,KAPOETA,NAGASHOT,765,56,0.3
2/22/2021,C208,5Y-ESU,MAF 1,NAGASHOT,TORIT,536,111,0.4
2/22/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,1364,120,0.5
2/23/2021,C208,5Y-ESU,MAF 1,JUBA,MUNDRI,910,148,0.7
2/23/2021,C208,5Y-ESU,MAF 1,MUNDRI,MARIDI,964,113,0.5
2/23/2021,C208,5Y-ESU,MAF 1,MARIDI,YAMBIO,1126,119,0.5
2/23/2021,C208,5Y-ESU,MAF 1,YAMBIO,JUBA,1094,352,1.4
2/24/2021,C208,5Y-ESU,MAF 1,JUBA,MVOLO,1000,224,1
2/24/2021,C208,5Y-ESU,MAF 1,MVOLO,TONJ,1176,196,0.8
2/24/2021,C208,5Y-ESU,MAF 1,TONJ,RUMBEK,1178,120,0.5
2/24/2021,C208,5Y-ESU,MAF 1,RUMBEK,YIROL,1163,98,0.5
2/24/2021,C208,5Y-ESU,MAF 1,YIROL,JUBA,1249,222,0.8
2/25/2021,C208,5Y-ESU,MAF 1,JUBA,MARIDI,959,239,0.9
2/25/2021,C208,5Y-ESU,MAF 1,MARIDI,JUBA,1122,239,1
2/26/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,759,120,0.5
2/26/2021,C208,5Y-ESU,MAF 1,TORIT,KAPOETA,855,119,0.6
2/26/2021,C208,5Y-ESU,MAF 1,KAPOETA,LOKI,923,106,0.5
2/26/2021,C208,5Y-ESU,MAF 1,LOKICHOGGIO,WILSON,1058,685,2.5
3/13/2021,C208,5Y-ESU,MAF 1,JUBA,MARIDI,1067,239,1.1
3/13/2021,C208,5Y-ESU,MAF 1,MARIDI,JUBA,1217,239,1.1
3/22/2021,C208,5Y-ESU,MAF 1,JUBA,CHUKUDUM,962,222,1
3/22/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,KAPOETA,808,65,0.3
3/22/2021,C208,5Y-ESU,MAF 1,KAPOETA,TORIT,1193,119,0.5
3/22/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,1274,120,0.5
3/23/2021,C208,5Y-ESU,MAF 1,MUNDRI,TAMBURA,840,319,1.2
3/23/2021,C208,5Y-ESU,MAF 1,JUBA,MUNDRI,809,148,0.6
3/23/2021,C208,5Y-ESU,MAF 1,TAMBURA,JUBA,958,463,2
3/24/2021,C208,5Y-ESU,MAF 1,JUBA,MVOLO,1003,224,1
3/24/2021,C208,5Y-ESU,MAF 1,YIROL,JUBA,1235,222,0.8
3/24/2021,C208,5Y-ESU,MAF 1,MVOLO,YIROL,1176,83,0.4
3/24/2021,C208,5Y-ESU,MAF 1,JUBA,TONJ,959,419,1.6
3/24/2021,C208,5Y-ESU,MAF 1,TONJ,JUBA,1099,419,1.7
3/25/2021,C208,5Y-ESU,MAF 1,JUBA,YUAI,965,339,1.4
3/25/2021,C208,5Y-ESU,MAF 1,YUAI,JUBA,1071,339,1.2
3/26/2021,C208,5Y-ESU,MAF 1,TORIT,KAPOETA,1104,119,0.5
3/26/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,1022,120,0.5
3/26/2021,C208,5Y-ESU,MAF 1,KAPOETA,LOKI,1195,106,0.5
3/26/2021,C208,5Y-ESU,MAF 1,LOKI,KAPOETA,1091,106,0.5
3/26/2021,C208,5Y-ESU,MAF 1,KAPOETA,TORIT,1172,119,0.5
3/26/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,1253,120,0.5
3/31/2021,C208,5Y-ESU,MAF 1,JUBA,MABIOR(PANYAGOR),1134,256,1.1
3/31/2021,C208,5Y-ESU,MAF 1,MABIOR(PANYAGOR),JUBA,1307,256,1
4/1/2021,C208,5Y-ESU,MAF 1,JUBA,TAMBURA,751,463,1.6
4/1/2021,C208,5Y-ESU,MAF 1,TAMBURA,IBBA,871,207,0.8
4/1/2021,C208,5Y-ESU,MAF 1,IBBA,MUNDRI,943,146,0.6
4/1/2021,C208,5Y-ESU,MAF 1,MUNDRI,JUBA,1134,148,0.7
4/8/2021,C208,5Y-ESU,MAF 1,JUBA,MARIDI,1081,239,0.9
4/8/2021,C208,5Y-ESU,MAF 1,MARIDI,JUBA,1233,239,1.2
4/8/2021,C208,5Y-ESU,MAF 1,JUBA,MARIDI,1020,239,0.9
4/8/2021,C208,5Y-ESU,MAF 1,MARIDI,IBBA,1182,33,0.2
4/8/2021,C208,5Y-ESU,MAF 1,IBBA,JUBA,1016,270,1.1
4/9/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,1018,120,6
4/9/2021,C208,5Y-ESU,MAF 1,TORIT,OHILANG,1119,37,0.3
4/9/2021,C208,5Y-ESU,MAF 1,OHILANG,LOKUTOK,1050,9,0.1
4/9/2021,C208,5Y-ESU,MAF 1,LOKUTOK,CHUKUDUM,877,87,0.4
4/9/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,NAGASHOT,766,13,0.2
4/9/2021,C208,5Y-ESU,MAF 1,NAGASHOT,TORIT,527,111,0.4
4/9/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,1346,120,0.5
4/12/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,1149,120,0.6
4/12/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,1261,120,0.5
4/12/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,962,120,0.6
4/12/2021,C208,5Y-ESU,MAF 1,TORIT,KAPOETA,1053,119,0.6
4/12/2021,C208,5Y-ESU,MAF 1,KAPOETA,CHUKUDUM,1143,65,0.3
4/12/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,KIMATONG,881,61,0.3
4/12/2021,C208,5Y-ESU,MAF 1,KIMATONG,JUBA,787,183,0.7
4/14/2021,C208,5Y-ESU,MAF 1,JUBA,NIMULE,1111,152,0.6
4/14/2021,C208,5Y-ESU,MAF 1,NIMULE,KAJO KEJI,1248,56,0.3
4/14/2021,C208,5Y-ESU,MAF 1,KAJO KEJI,JUBA,1079,113,0.5
4/15/2021,C208,5Y-ESU,MAF 1,JUBA,POKTAP,1026,287,1.2
4/15/2021,C208,5Y-ESU,MAF 1,POKTAP,MABIOR,606,33,0.3
4/15/2021,C208,5Y-ESU,MAF 1,MABIOR,BOR,1253,109,0.5
4/15/2021,C208,5Y-ESU,MAF 1,BOR,JUBA,1339,146,0.6
4/16/2021,C208,5Y-ESU,MAF 1,JUBA,KURON,982,337,1.5
4/16/2021,C208,5Y-ESU,MAF 1,KURON,JUBA,1221,337,1.2
4/19/2021,C208,5Y-ESU,MAF 1,JUBA,CHUKUDUM,1031,222,1
4/19/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,KAPOETA,872,65,0.4
4/19/2021,C208,5Y-ESU,MAF 1,KAPOETA,TORIT,1252,119,0.5
4/19/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,1311,120,0.5
4/20/2021,C208,5Y-ESU,MAF 1,JUBA,KAJO KAJI,1117,113,0.5
4/20/2021,C208,5Y-ESU,MAF 1,KAJO KAJI,JUBA,1017,113,0.5
4/21/2021,C208,5Y-ESU,MAF 1,JUBA,YEI,1000,126,0.5
4/21/2021,C208,5Y-ESU,MAF 1,YEI,KAJO KAJI,1112,107,0.5
4/21/2021,C208,5Y-ESU,MAF 1,KAJO KAJI,NIMULE,889,56,0.3
4/21/2021,C208,5Y-ESU,MAF 1,NIMULE,JUBA,1004,152,0.6
4/22/2021,C208,5Y-ESU,MAF 1,JUBA,MARIDI,923,239,0.9
4/22/2021,C208,5Y-ESU,MAF 1,MARIDI,YAMBIO,1076,119,0.5
4/22/2021,C208,5Y-ESU,MAF 1,YAMBIO,JUBA,1034,352,1.5
4/23/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,860,120,0.6
4/23/2021,C208,5Y-ESU,MAF 1,TORIT,KAPOETA,957,119,0.6
4/23/2021,C208,5Y-ESU,MAF 1,KAPOETA,LOKICHOGGIO,1053,106,0.5
4/24/2021,C208,5Y-ESU,MAF 1,LOKI,LOGLOGO,856,466,1.9
4/24/2021,C208,5Y-ESU,MAF 1,LOGLOGO,WILSON,1103,413,1.6
4/27/2021,C208,5Y-ESU,MAF 1,WILSON,LODWAR,692,522,1.8
4/27/2021,C208,5Y-ESU,MAF 1,LODWAR,MARSABIT,944,279,1.1
4/27/2021,C208,5Y-ESU,MAF 1,MARSABIT,WILSON,1103,452,1.8
4/29/2021,C208,5Y-ESU,MAF 1,WILSON,WILSON,0,78,0.3
5/5/2021,C208,5Y-ESU,MAF 1,WILSON,FINLAY KERICHO,1056,220,0.7
5/5/2021,C208,5Y-ESU,MAF 1,FINLAY KERICHO,WILSON,621,233,0.9
5/11/2021,C208,5Y-ESU,MAF 1,WILSON,DUKANA,638,603,2.3
