"Date","AirCraft_Type","AirCraft_Regn","AirCraft_FltNo","From","To","Total_Payload_kg","Distance_Flown_km","Hours_Flown","Fuel_Burn_kg_Payload","Fuel_Burn_kg_Time"
"2/3/2021","C208","5Y-ESU","MAF 1","YIROL","RUMBEK",1269,98,0.4,49.7448,88
"2/3/2021","C208","5Y-ESU","MAF 1","RUMBEK","TONJ",1001,120,0.5,48.048,110
"2/3/2021","C208","5Y-ESU","MAF 1","TONJ","MVOLO",982,196,0.9,76.9888,198
"2/3/2021","C208","5Y-ESU","MAF 1","MVOLO","JUBA",1228,224,1,110.0288,220
"2/4/2021","C208","5Y-ESU","MAF 1","JUBA","THAKER",1044,426,1.6,177.8976,352
"2/4/2021","C208","5Y-ESU","MAF 1","THAKER","JUBA",363,426,1.6,61.8552,352
"2/4/2021","C208","5Y-ESU","MAF 1","JUBA","KURON",1014,337,1.3,136.6872,286
"2/4/2021","C208","5Y-ESU","MAF 1","KURON","JUBA",1207,337,1.2,162.7036,264
"2/5/2021","C208","5Y-ESU","MAF 1","JUBA","CHUKUDUM",1064,222,0.9,94.4832,198
"2/5/2021","C208","5Y-ESU","MAF 1","CHUKUDUM","NAGASHOT",732,13,0.2,3.8064,44
"2/5/2021","C208","5Y-ESU","MAF 1","NAGASHOT","TORIT",513,111,0.5,22.7772,110
"2/5/2021","C208","5Y-ESU","MAF 1","TORIT","JUBA",1300,120,0.5,62.4,110
"2/8/2021","C208","5Y-ESU","MAF 1","JUBA","MANDENG",884,441,1.6,155.9376,352
"2/8/2021","C208","5Y-ESU","MAF 1","MANDENG","JUBA",664,441,1.7,117.1296,374
"2/9/2021","C208","5Y-ESU","MAF 1","JUBA","MANDENG",918,441,1.6,161.9352,352
"2/9/2021","C208","5Y-ESU","MAF 1","MANDENG","RUBKONA",696,376,1.5,104.6784,330
"2/9/2021","C208","5Y-ESU","MAF 1","RUBKONA","MALUALKON",894,239,1,85.4664,220
"2/9/2021","C208","5Y-ESU","MAF 1","MALUALKON","MARIAL BAI",860,87,0.4,29.928,88
"2/9/2021","C208","5Y-ESU","MAF 1","MARIAL BAI","MALUALKON",806,87,0.4,28.0488,88
"2/10/2021","C208","5Y-ESU","MAF 1","MALUALKON","TONJ",1015,226,1,91.756,220
"2/10/2021","C208","5Y-ESU","MAF 1","TONJ","RUMBEK",1215,120,0.5,58.32,110
"2/10/2021","C208","5Y-ESU","MAF 1","RUMBEK","JUBA",1176,304,1.1,143.0016,242
"2/11/2021","C208","5Y-ESU","MAF 1","JUBA","MARIDI",1082,239,1,103.4392,220
"2/11/2021","C208","5Y-ESU","MAF 1","MARIDI","JUBA",1244,239,0.9,118.9264,198
"2/12/2021","C208","5Y-ESU","MAF 1","JUBA","TORIT",971,120,0.5,46.608,110
"2/12/2021","C208","5Y-ESU","MAF 1","TORIT","CHUKUDUM",1072,104,0.5,44.5952,110
"2/12/2021","C208","5Y-ESU","MAF 1","CHUKUDUM","KAPOETA",819,65,0.3,21.294,66
"2/12/2021","C208","5Y-ESU","MAF 1","KAPOETA","KIMATONG",1203,39,0.2,18.7668,44
"2/12/2021","C208","5Y-ESU","MAF 1","KIMATONG","TORIT",751,80,0.4,24.032,88
"2/12/2021","C208","5Y-ESU","MAF 1","TORIT","JUBA",1289,120,0.5,61.872,110
"2/15/2021","C208","5Y-ESU","MAF 1","JUBA","TORIT",1048,120,0.6,50.304,132
"2/15/2021","C208","5Y-ESU","MAF 1","TORIT","CHUKUDUM",1170,104,0.5,48.672,110
"2/15/2021","C208","5Y-ESU","MAF 1","CHUKUDUM","KAPOETA",926,65,0.3,24.076,66
"2/15/2021","C208","5Y-ESU","MAF 1","KAPOETA","JUBA",1297,220,0.9,114.136,198
"2/15/2021","C208","5Y-ESU","MAF 1","JUBA","KAJO KEJI",1198,113,0.5,54.1496,110
"2/15/2021","C208","5Y-ESU","MAF 1","KAJO KEJI","JUBA",1097,113,0.4,49.5844,88
"2/16/2021","C208","5Y-ESU","MAF 1","JUBA","KAJO KEJI",1208,113,0.5,54.6016,110
