"Date","AirCraft_Type","AirCraft_Regn","AirCraft_FltNo","From","To","Total_Payload_kg","Distance_Flown_km","Hours_Flown","Fuel_Burn_kg_Payload","Fuel_Burn_kg_Time"
"6/11/2021","C208","5Y-BRE","MAF 2","TORIT","JUBA",1202,120,0.5,57.696,110
"6/11/2021","C208","5Y-BRE","MAF 2","WILSON","LOKICHOGGIO",778,685,2.6,213.172,572
"6/17/2021","C208","5Y-BRE","MAF 2","JUBA","WILSON",1051,922,3.2,387.6088,704
"6/26/2021","C208","5Y-BRE","MAF 2","WILSON","KARGI",859,446,1.7,153.2456,374
"6/26/2021","C208","5Y-BRE","MAF 2","KARGI","WILSON",1060,450,1.8,190.8,396
"6/28/2021","C208","5Y-BRE","MAF 2","WILSON","HOMABAY",1083,272,1.1,117.8304,242
"6/28/2021","C208","5Y-BRE","MAF 2","HOMABAY","WILSON",1248,278,1.1,138.7776,242
"7/1/2021","C208","5Y-BRE","MAF 2","WILSON","WILSON",1011,207,0.8,83.7108,176
"7/2/2021","C208","5Y-BRE","MAF 2","WILSON","SESIA",920,254,1.1,93.472,242
"7/2/2021","C208","5Y-BRE","MAF 2","SESIA","KORR",628,139,0.7,34.9168,154
"7/2/2021","C208","5Y-BRE","MAF 2","KORR","WILSON",664,392,1.6,104.1152,352
"7/5/2021","C208","5Y-BRE","MAF 2","WILSON","LOKICHOGGIO",667,685,2.6,182.758,572
"7/5/2021","C208","5Y-BRE","MAF 2","LOKICHOGGIO","KAKUMA",1033,80,0.4,33.056,88
"7/5/2021","C208","5Y-BRE","MAF 2","KAKUMA","WILSON",1079,607,2.2,261.9812,484
"7/8/2021","C208","5Y-BRE","MAF 2","WILSON","JUBA",695,900,3.4,250.2,748
"7/14/2021","C208","5Y-BRE","MAF 2","JUBA","YIROL",1115,222,1,99.012,220
"7/14/2021","C208","5Y-BRE","MAF 2","YIROL","RUMBEK",1236,98,0.5,48.4512,110
"7/14/2021","C208","5Y-BRE","MAF 2","RUMBEK","LIETHNOM",986,237,1.1,93.4728,242
"7/14/2021","C208","5Y-BRE","MAF 2","LIETHNOM","RUMBEK",853,237,0.9,80.8644,198
"7/14/2021","C208","5Y-BRE","MAF 2","RUMBEK","JUBA",1122,304,1.3,136.4352,286
"7/16/2021","C208","5Y-BRE","MAF 2","JUBA","LOKICHOGGIO",771,313,1.2,96.5292,264
"7/16/2021","C208","5Y-BRE","MAF 2","LOKICHOGGIO","KAPOETA",944,106,0.5,40.0256,110
"7/16/2021","C208","5Y-BRE","MAF 2","KAPOETA","TORIT",1025,119,0.5,48.79,110
"7/16/2021","C208","5Y-BRE","MAF 2","TORIT","CHUKUDUM",1107,104,0.5,46.0512,110
"7/16/2021","C208","5Y-BRE","MAF 2","CHUKUDUM","JUBA",868,222,0.9,77.0784,198
"7/19/2021","C208","5Y-BRE","MAF 2","JUBA","TORIT",941,120,0.5,45.168,110
"7/19/2021","C208","5Y-BRE","MAF 2","TORIT","CHUKUDUM",1003,104,0.5,41.7248,110
"7/19/2021","C208","5Y-BRE","MAF 2","CHUKUDUM","KAPOETA",763,65,0.3,19.838,66
"7/19/2021","C208","5Y-BRE","MAF 2","KAPOETA","LOKUTOK",1139,82,0.4,37.3592,88
"7/19/2021","C208","5Y-BRE","MAF 2","LOKUTOK","OHILANG",733,9,0.2,2.6388,44
"7/19/2021","C208","5Y-BRE","MAF 2","OHILANG","TORIT",1119,37,0.2,16.5612,44
"7/19/2021","C208","5Y-BRE","MAF 2","TORIT","JUBA",1252,120,0.5,60.096,110
"7/20/2021","C208","5Y-BRE","MAF 2","JUBA","MVOLO",893,224,1.1,80.0128,242
"7/20/2021","C208","5Y-BRE","MAF 2","MVOLO","WAU",1024,285,1.2,116.736,264
"7/20/2021","C208","5Y-BRE","MAF 2","WAU","TONJ",977,91,0.4,35.5628,88
"7/20/2021","C208","5Y-BRE","MAF 2","TONJ","RUMBEK",928,120,0.5,44.544,110
"7/20/2021","C208","5Y-BRE","MAF 2","RUMBEK","YIROL",1115,98,0.5,43.708,110
"7/20/2021","C208","5Y-BRE","MAF 2","YIROL","JUBA",1183,222,0.9,105.0504,198
"7/22/2021","C208","5Y-BRE","MAF 2","JUBA ","MUNDRI",972,148,0.7,57.5424,154
"7/22/2021","C208","5Y-BRE","MAF 2","MUNDRI","MARIDI",985,113,0.5,44.522,110
"7/22/2021","C208","5Y-BRE","MAF 2","MARIDI","JUBA",1143,239,0.9,109.2708,198
"7/22/2021","C208","5Y-BRE","MAF 2","JUBA ","YAMBIO",884,352,1.4,124.4672,308
"7/22/2021","C208","5Y-BRE","MAF 2","YAMBIO","IBBA",965,85,0.4,32.81,88
"7/22/2021","C208","5Y-BRE","MAF 2","IBBA","JUBA",966,270,1,104.328,220
"7/23/2021","C208","5Y-BRE","MAF 2","JUBA ","TORIT",990,120,0.5,47.52,110
"7/23/2021","C208","5Y-BRE","MAF 2","TORIT","OHILANG",1061,37,0.3,15.7028,66
"7/23/2021","C208","5Y-BRE","MAF 2","OHILANG","KIMATONG",996,52,0.3,20.7168,66
"7/23/2021","C208","5Y-BRE","MAF 2","KIMATONG","TORIT",681,80,0.4,21.792,88
"7/23/2021","C208","5Y-BRE","MAF 2","TORIT","JUBA",1224,120,0.5,58.752,110
"7/26/2021","C208","5Y-BRE","MAF 2","JUBA ","TORIT",946,120,0.6,45.408,132
"7/26/2021","C208","5Y-BRE","MAF 2","TORIT","OHILANG",1020,37,0.3,15.096,66
"7/26/2021","C208","5Y-BRE","MAF 2","OHILANG","CHUKUDUM",946,95,0.5,35.948,110
"7/26/2021","C208","5Y-BRE","MAF 2","CHUKUDUM","KAPOETA",792,65,0.3,20.592,66
"7/26/2021","C208","5Y-BRE","MAF 2","KAPOETA","JUBA",1172,220,0.9,103.136,198
"7/28/2021","C208","5Y-BRE","MAF 2","JUBA ","MVOLO",995,224,1,89.152,220
"7/28/2021","C208","5Y-BRE","MAF 2","MVOLO","TONJ",1156,196,0.9,90.6304,198
"7/28/2021","C208","5Y-BRE","MAF 2","TONJ","WAU",1173,91,0.5,42.6972,110
"7/28/2021","C208","5Y-BRE","MAF 2","WAU","JUBA",1019,509,1.8,207.4684,396
"7/30/2021","C208","5Y-BRE","MAF 2","JUBA ","TORIT",1070,120,0.6,51.36,132
"7/30/2021","C208","5Y-BRE","MAF 2","TORIT","KAPOETA",1164,119,0.5,55.4064,110
"7/30/2021","C208","5Y-BRE","MAF 2","KAPOETA","LOKICHOGGIO",1255,106,0.8,53.212,176
"7/30/2021","C208","5Y-BRE","MAF 2","LOKICHOGGIO","KAPOETA",1055,106,0.5,44.732,110
"7/30/2021","C208","5Y-BRE","MAF 2","KAPOETA","KIMATONG",1139,39,0.2,17.7684,44
"7/30/2021","C208","5Y-BRE","MAF 2","KIMATONG","TORIT",715,80,0.4,22.88,88
"7/30/2021","C208","5Y-BRE","MAF 2","TORIT","JUBA",1252,120,0.5,60.096,110
"8/2/2021","C208","5Y-BRE","MAF 2","JUBA","KAPOETA",940,220,1,82.72,220
"8/2/2021","C208","5Y-BRE","MAF 2","KAPOETA","CHUKUDUM",1092,65,0.4,28.392,88
"8/2/2021","C208","5Y-BRE","MAF 2","CHUKUDUM","JUBA",807,222,0.9,71.6616,198
"8/3/2021","C208","5Y-BRE","MAF 2","JUBA","MARIDI",992,239,1,94.8352,220
"8/3/2021","C208","5Y-BRE","MAF 2","MARIDI","JUBA",1129,239,0.9,107.9324,198
"8/3/2021","C208","5Y-BRE","MAF 2","JUBA","IBBA",879,270,1.2,94.932,264
"8/3/2021","C208","5Y-BRE","MAF 2","IBBA","YAMBIO",857,85,0.4,29.138,88
"8/3/2021","C208","5Y-BRE","MAF 2","YAMBIO","JUBA",1005,352,0.4,141.504,88
"8/4/2021","C208","5Y-BRE","MAF 2","JUBA","MVOLO",81,224,1,7.2576,220
"8/4/2021","C208","5Y-BRE","MAF 2","MVOLO","MALUALKON",61,417,1.6,10.1748,352
"8/4/2021","C208","5Y-BRE","MAF 2","MALUALKON","JUBA",0,635,2.4,0,528
"8/5/2021","C208","5Y-BRE","MAF 2","JUBA","YAMBIO",936,352,1.3,131.7888,286
"8/5/2021","C208","5Y-BRE","MAF 2","YAMBIO","JUBA",1029,352,1.5,144.8832,330
"8/5/2021","C208","5Y-BRE","MAF 2","JUBA","MUNDRI",979,148,0.7,57.9568,154
"8/5/2021","C208","5Y-BRE","MAF 2","MUNDRI","IBBA",1003,146,0.6,58.5752,132
"8/5/2021","C208","5Y-BRE","MAF 2","IBBA","JUBA",994,270,1.1,107.352,242
"8/6/2021","C208","5Y-BRE","MAF 2","JUBA","TORIT",1001,120,0.5,48.048,110
"8/6/2021","C208","5Y-BRE","MAF 2","TORIT","KAPOETA",1124,119,0.6,53.5024,132
"8/6/2021","C208","5Y-BRE","MAF 2","KAPOETA","TORIT",1183,119,0.5,56.3108,110
"8/6/2021","C208","5Y-BRE","MAF 2","TORIT","JUBA",1246,120,0.5,59.808,110
"8/10/2021","C208","5Y-BRE","MAF 2","JUBA","IBBA",727,270,1.2,78.516,264
"8/10/2021","C208","5Y-BRE","MAF 2","IBBA","TAMBURA",693,207,0.9,57.3804,198
"8/10/2021","C208","5Y-BRE","MAF 2","TAMBURA","MUNDRI",898,318,1.2,114.2256,264
"8/10/2021","C208","5Y-BRE","MAF 2","MUNDRI","JUBA",1111,148,0.7,65.7712,154
"8/12/2021","C208","5Y-BRE","MAF 2","JUBA","YAMBIO",921,352,1.3,129.6768,286
"8/12/2021","C208","5Y-BRE","MAF 2","YAMBIO","MARIDI",996,119,0.6,47.4096,132
"8/12/2021","C208","5Y-BRE","MAF 2","MARIDI","JUBA",1188,239,0.9,113.5728,198
"8/13/2021","C208","5Y-BRE","MAF 2","JUBA","TORIT",809,120,0.6,38.832,132
"8/13/2021","C208","5Y-BRE","MAF 2","TORIT","KAPOETA",875,119,0.6,41.65,132
"8/13/2021","C208","5Y-BRE","MAF 2","KAPOETA","LOKICHOGGIO",970,106,0.8,41.128,176
"8/13/2021","C208","5Y-BRE","MAF 2","LOKICHOGGIO","WILSON",1031,685,2.5,282.494,550
"8/23/2021","C208","5Y-BRE","MAF 2","WILSON","WILSON",1132,78,0.3,35.3184,66
"8/24/2021","C208","5Y-BRE","MAF 2","WILSON","NAMAREI",754,374,1.6,112.7984,352
"8/24/2021","C208","5Y-BRE","MAF 2","NAMAREI","KARGI",642,74,0.3,19.0032,66
"8/25/2021","C208","5Y-BRE","MAF 2","KARGI","LODWAR",1012,228,0.9,92.2944,198
"8/25/2021","C208","5Y-BRE","MAF 2","LODWAR","LOKICHAR",1149,81,0.4,37.2276,88
"8/26/2021","C208","5Y-BRE","MAF 2","LOKICHAR","WILSON",1222,444,1.7,217.0272,374
"8/31/2021","C208","5Y-BRE","MAF 2","WILSON","HOMABAY",1072,272,1.1,116.6336,242
"9/1/2021","C208","5Y-BRE","MAF 2","HOMABAY","WIL",1234,278,1.2,137.2208,264
"9/3/2021","C208","5Y-BRE","MAF 2","WIL","LOGLOGO",969,409,1.6,158.5284,352
"9/3/2021","C208","5Y-BRE","MAF 2","LOGLOGO","MARSABIT",882,41,0.2,14.4648,44
"9/3/2021","C208","5Y-BRE","MAF 2","MARSABIT","MOYALE",929,174,0.7,64.6584,154
"9/3/2021","C208","5Y-BRE","MAF 2","MOYALE","GATAB LOWER",1035,259,1,107.226,220
"9/3/2021","C208","5Y-BRE","MAF 2","GATAB LOWER","SEDAR",476,31,0.2,5.9024,44
"9/3/2021","C208","5Y-BRE","MAF 2","SEDAR","WILSON",1225,416,1.5,203.84,330
"9/6/2021","C208","5Y-BRE","MAF 2","WILSON","LOKICHOGGIO",659,684,2.5,180.3024,550
"9/6/2021","C208","5Y-BRE","MAF 2","LOKICHOGGIO","WILSON",1037,684,2.4,283.7232,528
"9/27/2021","C208","5Y-BRE","MAF 2","WILSON","LOGLOGO",938,488,1.7,183.0976,374
"9/27/2021","C208","5Y-BRE","MAF 2","LOGLOGO","MOYALE",897,209,0.9,74.9892,198
"9/27/2021","C208","5Y-BRE","MAF 2","MOYALE","WILSON",1034,622,2.1,257.2592,462
"9/28/2021","C208","5Y-BRE","MAF 2","WILSON","ELDORET INT'L",991,266,0.9,105.4424,198
"9/28/2021","C208","5Y-BRE","MAF 2","ELDORET INT'L","KEEKOROK",1149,220,0.8,101.112,176
"9/28/2021","C208","5Y-BRE","MAF 2","KEEKOROK","WILSON",1283,176,0.9,90.3232,198
"9/30/2021","C208","5Y-BRE","MAF 2","WILSON","KEEKOROK",1050,178,0.7,74.76,154
"9/30/2021","C208","5Y-BRE","MAF 2","KEEKOROK","WILSON",1157,176,0.7,81.4528,154
"9/30/2021","C208","5Y-BRE","MAF 2","WILSON","WILSON",616,181,0.7,44.5984,154
"10/1/2021","C208","5Y-BRE","MAF 2","WILSON","SEDAR",656,414,1.6,108.6336,352
"10/1/2021","C208","5Y-BRE","MAF 2","SEDAR","DUKANA",888,191,0.8,67.8432,176
"10/1/2021","C208","5Y-BRE","MAF 2","DUKANA","MOYALE",1005,207,0.9,83.214,198
"10/1/2021","C208","5Y-BRE","MAF 2","MOYALE","MARSABIT",1132,174,0.7,78.7872,154
"10/1/2021","C208","5Y-BRE","MAF 2","MARSABIT","LOGLOGO",1239,41,0.2,20.3196,44
"10/1/2021","C208","5Y-BRE","MAF 2","LOGLOGO","WILSON",1199,488,1.5,234.0448,330
"10/4/2021","C208","5Y-BRE","MAF 2","WILSON","NANYUKI",1125,150,0.6,67.5,132
"10/4/2021","C208","5Y-BRE","MAF 2","NANYUKI","SESIA",705,109,0.5,30.738,110
"10/4/2021","C208","5Y-BRE","MAF 2","SESIA","WILSON",879,274,0.9,96.3384,198
"10/8/2021","C208","5Y-BRE","MAF 2","LOKICHOGGIO","KAPOETA",1051,106,0.5,44.5624,110
"10/8/2021","C208","5Y-BRE","MAF 2","KAPOETA","CHUKUDUM",1116,65,0.3,29.016,66
"10/8/2021","C208","5Y-BRE","MAF 2","CHUKUDUM","TORIT",854,104,0.5,35.5264,110
"10/8/2021","C208","5Y-BRE","MAF 2","TORIT","JUBA",1252,120,0.6,60.096,132
"10/8/2021","C208","5Y-BRE","MAF 2","WILSON","MARSABIT",617,448,1.7,110.5664,374
"10/8/2021","C208","5Y-BRE","MAF 2","MARSABIT","LOKICHOGGIO",868,455,1.7,157.976,374
"10/18/2021","C208","5Y-BRE","MAF 2","JUBA","TORIT",1162,120,0.6,55.776,132
"10/18/2021","C208","5Y-BRE","MAF 2","TORIT","JUBA",1251,120,0.5,60.048,110
"10/18/2021","C208","5Y-BRE","MAF 2","JUBA","KIMATONG",1059,183,0.8,77.5188,176
"10/18/2021","C208","5Y-BRE","MAF 2","KIMATONG","KAPOETA",709,39,0.3,11.0604,66
"10/18/2021","C208","5Y-BRE","MAF 2","KAPOETA","JUBA",1219,220,0.8,107.272,176
"10/19/2021","C208","5Y-BRE","MAF 2","JUBA","BOMA",857,341,1.4,116.8948,308
"10/19/2021","C208","5Y-BRE","MAF 2","BOMA","PIBOR",748,156,0.6,46.6752,132
"10/19/2021","C208","5Y-BRE","MAF 2","PIBOR","JUBA",1140,272,1,124.032,220
"10/21/2021","C208","5Y-BRE","MAF 2","JUBA","YAMBIO",900,352,1.3,126.72,286
"10/21/2021","C208","5Y-BRE","MAF 2","YAMBIO","IBBA",961,85,0.4,32.674,88
"10/21/2021","C208","5Y-BRE","MAF 2","IBBA","JUBA",949,270,1.1,102.492,242
"10/23/2021","C208","5Y-BRE","MAF 2","JUBA","RUBKONA",712,530,1.9,150.944,418
"10/23/2021","C208","5Y-BRE","MAF 2","RUBKONA","JUBA",975,530,2,206.7,440
"10/25/2021","C208","5Y-BRE","MAF 2","JUBA","TONJ",888,419,1.5,148.8288,330
"10/25/2021","C208","5Y-BRE","MAF 2","TONJ","MVOLO",879,196,0.9,68.9136,198
"10/25/2021","C208","5Y-BRE","MAF 2","MVOLO","JUBA",1180,224,1,105.728,220
"10/26/2021","C208","5Y-BRE","MAF 2","JUBA","YAMBIO",876,352,1.3,123.3408,286
"10/26/2021","C208","5Y-BRE","MAF 2","YAMBIO","JUBA",938,352,1.6,132.0704,352
"10/26/2021","C208","5Y-BRE","MAF 2","JUBA","TORIT",1238,120,0.6,59.424,132
"10/26/2021","C208","5Y-BRE","MAF 2","TORIT","JUBA",1306,120,0.5,62.688,110
"10/27/2021","C208","5Y-BRE","MAF 2","JUBA","KAJO KEJI",1002,113,0.5,45.2904,110
"10/27/2021","C208","5Y-BRE","MAF 2","KAJO KEJI","NIMULE",783,56,0.3,17.5392,66
"10/27/2021","C208","5Y-BRE","MAF 2","NIMULE","YEI",876,161,0.7,56.4144,154
"10/27/2021","C208","5Y-BRE","MAF 2","YEI","JUBA",1233,126,0.6,62.1432,132
"10/27/2021","C208","5Y-BRE","MAF 2","JUBA","KURON",950,337,1.5,128.06,330
"10/27/2021","C208","5Y-BRE","MAF 2","KURON","JUBA",1158,337,1.2,156.0984,264
"10/28/2021","C208","5Y-BRE","MAF 2","JUBA","MANDENG ",823,441,1.8,145.1772,396
"10/28/2021","C208","5Y-BRE","MAF 2","MANDENG","JUBA",575,441,1.6,101.43,352
"10/29/2021","C208","5Y-BRE","MAF 2","JUBA","TORIT",962,120,0.6,46.176,132
"10/29/2021","C208","5Y-BRE","MAF 2","TORIT","KAPOETA",1061,119,0.6,50.5036,132
"10/29/2021","C208","5Y-BRE","MAF 2","KAPOETA","LOKICHOGGIO",1151,106,0.6,48.8024,132
"10/29/2021","C208","5Y-BRE","MAF 2","LOKICHOGGIO","KAPOETA",1083,106,0.5,45.9192,110
"10/29/2021","C208","5Y-BRE","MAF 2","KAPOETA","KIMATONG",1142,39,0.2,17.8152,44
"10/29/2021","C208","5Y-BRE","MAF 2","KIMATONG","TORIT",727,80,0.4,23.264,88
"10/29/2021","C208","5Y-BRE","MAF 2","TORIT","JUBA",1242,120,0.5,59.616,110
"11/1/2021","C208","5Y-BRE","MAF 2","JUBA","LIETHNOM",755,537,1.9,162.174,418
"11/1/2021","C208","5Y-BRE","MAF 2","LIETHNOM","JUBA",708,537,2,152.0784,440
"11/8/2021","C208","5Y-BRE","MAF 2","JUBA","CHUKUDUM",1019,222,0.9,90.4872,198
"11/8/2021","C208","5Y-BRE","MAF 2","CHUKUDUM","TORIT",818,104,0.5,34.0288,110
"11/8/2021","C208","5Y-BRE","MAF 2","TORIT","JUBA",1207,120,0.5,57.936,110
"11/9/2021","C208","5Y-BRE","MAF 2","JUBA","MARIDI",1046,239,1,99.9976,220
"11/9/2021","C208","5Y-BRE","MAF 2","MARIDI","JUBA",1194,239,1.1,114.1464,242
"11/9/2021","C208","5Y-BRE","MAF 2","JUBA","KURON",990,337,1.4,133.452,308
"11/9/2021","C208","5Y-BRE","MAF 2","KURON","JUBA",1187,337,1.4,160.0076,308
"11/10/2021","C208","5Y-BRE","MAF 2","JUBA","YIROL",832,222,0.9,73.8816,198
"11/10/2021","C208","5Y-BRE","MAF 2","YIROL","TONJ",957,219,0.8,83.8332,176
"11/10/2021","C208","5Y-BRE","MAF 2","TONJ","MVOLO",905,196,0.9,70.952,198
"11/10/2021","C208","5Y-BRE","MAF 2","MVOLO","JUBA",1193,224,1,106.8928,220
"11/12/2021","C208","5Y-BRE","MAF 2","JUBA","TORIT",1003,120,0.6,48.144,132
"11/12/2021","C208","5Y-BRE","MAF 2","TORIT","CHUKUDUM",1070,104,0.5,44.512,110
"11/12/2021","C208","5Y-BRE","MAF 2","CHUKUDUM","KAPOETA",840,65,0.3,21.84,66
"11/12/2021","C208","5Y-BRE","MAF 2","KAPOETA","LOKICHOGGIO",1219,106,0.5,51.6856,110
"11/12/2021","C208","5Y-BRE","MAF 2","LOKICHOGGIO","KAPOETA",1084,106,0.5,45.9616,110
"11/12/2021","C208","5Y-BRE","MAF 2","KAPOETA","KIMATONG",1174,39,0.2,18.3144,44
"11/12/2021","C208","5Y-BRE","MAF 2","KIMATONG","TORIT",727,80,0.3,23.264,66
"11/12/2021","C208","5Y-BRE","MAF 2","TORIT","JUBA",1265,120,0.5,60.72,110
"11/15/2021","C208","5Y-BRE","MAF 2","JUBA","TORIT",774,120,0.6,37.152,132
"11/15/2021","C208","5Y-BRE","MAF 2","TORIT","CHUKUDUM",844,104,0.6,35.1104,132
"11/15/2021","C208","5Y-BRE","MAF 2","CHUKUDUM","KAPOETA",614,65,0.4,15.964,88
"11/15/2021","C208","5Y-BRE","MAF 2","KAPOETA","LOKICHOGGIO",989,106,0.5,41.9336,110
"11/15/2021","C208","5Y-BRE","MAF 2","LOKICHOGGIO","KAPOETA",1071,106,0.5,45.4104,110
"11/15/2021","C208","5Y-BRE","MAF 2","KAPOETA","CHUKUDUM",1143,65,0.3,29.718,66
"11/15/2021","C208","5Y-BRE","MAF 2","CHUKUDUM","TORIT",877,104,0.4,36.4832,88
"11/15/2021","C208","5Y-BRE","MAF 2","TORIT","JUBA",1266,120,0.5,60.768,110
"11/17/2021","C208","5Y-BRE","MAF 2","JUBA","AYOD",889,363,1.4,129.0828,308
"11/17/2021","C208","5Y-BRE","MAF 2","AYOD","GUMRUK",1086,235,1,102.084,220
"11/17/2021","C208","5Y-BRE","MAF 2","GUMRUK","BOR",721,154,0.6,44.4136,132
"11/17/2021","C208","5Y-BRE","MAF 2","BOR","AYOD",919,217,0.9,79.7692,198
"11/17/2021","C208","5Y-BRE","MAF 2","AYOD","GUMRUK",1031,235,1.1,96.914,242
"11/17/2021","C208","5Y-BRE","MAF 2","GUMRUK","JUBA",685,245,0.9,67.13,198
"11/22/2021","C208","5Y-BRE","MAF 2","JUBA","TORIT",1002,120,0.6,48.096,132
"11/22/2021","C208","5Y-BRE","MAF 2","TORIT","CHUK",1063,104,0.5,44.2208,110
"11/22/2021","C208","5Y-BRE","MAF 2","CHUK","KAPOETA",823,65,0.3,21.398,66
"11/22/2021","C208","5Y-BRE","MAF 2","KAPOETA","LOKICHOGGIO",1231,106,0.5,52.1944,110
"11/22/2021","C208","5Y-BRE","MAF 2","LOKICHOGGIO","WILSON",1024,684,2.5,280.1664,550
"12/9/2021","C208","5Y-BRE","MAF 2","WILSON","WILSON",865,363,1.4,125.598,308
"12/9/2021","C208","5Y-BRE","MAF 2","WILSON","SEDAR",785,416,1.6,130.624,352
"12/9/2021","C208","5Y-BRE","MAF 2","SEDAR","WILSON",1034,420,1.5,173.712,330
"12/10/2021","C208","5Y-BRE","MAF 2","WILSON","LOKICHOGGIO",918,684,2.6,251.1648,572
"12/10/2021","C208","5Y-BRE","MAF 2","LOKICHOGGIO","WILSON",977,684,2.5,267.3072,550
"12/20/2021","C208","5Y-BRE","MAF 2","WILSON","SESIA",865,253,1,87.538,220
"12/20/2021","C208","5Y-BRE","MAF 2","SESIA","LOGLOGO",606,157,0.7,38.0568,154
"12/20/2021","C208","5Y-BRE","MAF 2","LOGLOGO","WILSON",1115,400,1.6,178.4,352
"12/23/2021","C208","5Y-BRE","MAF 2","WILSON","LOKICHOGGIO",1064,684,2.7,291.1104,594
"12/23/2021","C208","5Y-BRE","MAF 2","LOKICHOGGIO","KAPOETA",812,106,0.5,34.4288,110
"12/23/2021","C208","5Y-BRE","MAF 2","KAPOETA","OHILANG",1200,89,0.4,42.72,88
"12/23/2021","C208","5Y-BRE","MAF 2","OHILANG","JUBA",1139,133,0.6,60.5948,132
"1/4/2022","C208","5Y-BRE","MAF 2","JUBA","MARIDI",979,239,1,93.5924,220
"1/4/2022","C208","5Y-BRE","MAF 2","MARIDI","YAMBIO",1120,119,0.5,53.312,110
"1/4/2022","C208","5Y-BRE","MAF 2","YAMBIO","JUBA",1083,352,1.4,152.4864,308
"1/5/2022","C208","5Y-BRE","MAF 2","JUBA","JUBA",925,302,1.9,111.74,418
"1/6/2022","C208","5Y-BRE","MAF 2","JUBA","MUNDRI",1018,148,0.7,60.2656,154
"1/6/2022","C208","5Y-BRE","MAF 2","MUNDRI","IBBA",1026,146,0.6,59.9184,132
"1/6/2022","C208","5Y-BRE","MAF 2","IBBA","JUBA",1017,270,1.2,109.836,264
"1/10/2022","C208","5Y-BRE","MAF 2","JUBA","MALAKAL",970,519,2,201.372,440
"1/10/2022","C208","5Y-BRE","MAF 2","MALAKAL","RENK",961,265,1.1,101.866,242
"1/10/2022","C208","5Y-BRE","MAF 2","RENK","JUBA",1097,763,2.7,334.8044,594
"1/12/2022","C208","5Y-BRE","MAF 2","JUBA","NEW FANGAK",801,504,2,161.4816,440
"1/12/2022","C208","5Y-BRE","MAF 2","NEW FANGAK ","JUBA",556,504,1.9,112.0896,418
"1/13/2022","C208","5Y-BRE","MAF 2","JUBA","MARIDI",1047,239,0.9,100.0932,198
"1/13/2022","C208","5Y-BRE","MAF 2","MARIDI","JUBA",1188,239,1,113.5728,220
"1/13/2022","C208","5Y-BRE","MAF 2","JUBA","IBBA",916,270,1.1,98.928,242
"1/13/2022","C208","5Y-BRE","MAF 2","IBBA","YAMBIO",884,85,0.4,30.056,88
"1/13/2022","C208","5Y-BRE","MAF 2","YAMBIO","JUBA",1010,352,1.4,142.208,308
"1/17/2022","C208","5Y-BRE","MAF 2","JUBA","OHILANG",1133,148,0.9,67.0736,198
"1/17/2022","C208","5Y-BRE","MAF 2","OHILANG","JUBA",1157,133,0.7,61.5524,154
"1/17/2022","C208","5Y-BRE","MAF 2","JUBA","OHILANG",1185,133,0.6,63.042,132
"1/17/2022","C208","5Y-BRE","MAF 2","OHILANG","JUBA",1153,133,0.6,61.3396,132
"1/18/2022","C208","5Y-BRE","MAF 2","JUBA","DIN DIN",856,409,1.7,140.0416,374
"1/18/2022","C208","5Y-BRE","MAF 2","DIN DIN","LEER",263,13,0.2,1.3676,44
"1/18/2022","C208","5Y-BRE","MAF 2","LEER","JUBA",1310,415,1.6,217.46,352
"1/18/2022","C208","5Y-BRE","MAF 2","JUBA","ARILO",1163,120,0.6,55.824,132
"1/18/2022","C208","5Y-BRE","MAF 2","ARILO","JUBA",326,120,0.5,15.648,110
"1/24/2022","C208","5Y-BRE","MAF 2","JUBA","TORIT",976,120,0.6,46.848,132
"1/24/2022","C208","5Y-BRE","MAF 2","TORIT","CHUKUDUM",1048,104,0.5,43.5968,110
"1/24/2022","C208","5Y-BRE","MAF 2","CHUKUDUM","KAPOETA",989,65,0.3,25.714,66
"1/24/2022","C208","5Y-BRE","MAF 2","KAPOETA","CHUKUDUM",1184,65,0.4,30.784,88
"1/24/2022","C208","5Y-BRE","MAF 2","CHUKUDUM","TORIT",1089,104,0.5,45.3024,110
"1/24/2022","C208","5Y-BRE","MAF 2","TORIT","JUBA",1297,120,0.6,62.256,132
"1/26/2022","C208","5Y-BRE","MAF 2","JUBA","YIDA",726,606,2.2,175.9824,484
"1/26/2022","C208","5Y-BRE","MAF 2","YIDA","JUBA",1019,606,2.3,247.0056,506
"1/27/2022","C208","5Y-BRE","MAF 2","JUBA","MARIDI",1094,239,0.9,104.5864,198
"1/27/2022","C208","5Y-BRE","MAF 2","MARIDI","JUBA",1242,239,1,118.7352,220
"1/31/2022","C208","5Y-BRE","MAF 2","JUBA","MARIDI",1058,239,1,101.1448,220
"1/31/2022","C208","5Y-BRE","MAF 2","MARIDI","JUBA",1202,239,1,114.9112,220
"1/31/2022","C208","5Y-BRE","MAF 2","JUBA","KIMATONG",941,183,0.8,68.8812,176
"1/31/2022","C208","5Y-BRE","MAF 2","KIMATONG","KAPOETA",563,39,0.3,8.7828,66
"1/31/2022","C208","5Y-BRE","MAF 2","KAPOETA","CHUKUDUM",1092,65,0.4,28.392,88
"1/31/2022","C208","5Y-BRE","MAF 2","CHUKUDUM","JUBA",996,222,0.9,88.4448,198
"2/1/2022","C208","5Y-BRE","MAF 2","JUBA","IBBA",983,270,1.2,106.164,264
